Model,Price
EXPLORERLIMITED,27554.83962264151
WRANGLERWILLYS,27540.40322580645
CR-VTOURING,27537.266362252663
EXPEDITION4WD,27513.09411764706
C-CLASSC300,27512.407699302817
XC70AWD,27510.88888888889
4RUNNERRWD,27505.89806678383
CHALLENGERSHAKER,27482.272727272728
METRIS,27450.0
GENESIS3.8L,27434.55769230769
CLACLA250,27427.061538461538
NVPV6,27396.428571428572
RX,27332.707503520418
QX562WD,27312.52857142857
EQUUSSIGNATURE,27278.792349726777
"1500SLT,",27251.78354002255
CL-CLASS2DR,27221.520833333332
SRXLUXURY,27194.743993698306
XFPREMIUM,27185.690476190477
EXPEDITIONXLT,27179.658692185007
MAXIMASL,27132.39285714286
F-350FX5,27086.53846153846
PACIFICATOURING-L,27079.109263657956
MDXAWD,27019.87483870968
S802015.5,27006.4375
C70INCSCRIPTION,26988.0
"SIENNASE,",26970.9375
MKC,26950.0
NV3500,26946.125
MAXIMASR,26938.572727272727
300PLATINUM,26927.88888888889
WRANGLERFREEDOM,26903.94827586207
ILXTECHNOLOGY,26896.954545454544
DURANGOAWD,26870.715037593985
1500HFE,26870.0
HIGHLANDERFWD,26824.065185185184
M-CLASSML,26822.88888888889
SEQUOIASR5,26816.910828025477
RDXAWD,26801.320866141734
XTERRAPRO-4X,26786.957746478874
TRAVERSELTZ,26771.027243589742
WRANGLERSAHARA,26753.70265486726
TACOMADOUBLE,26705.960975609756
RS44DR,26682.11111111111
MKZPREMIERE,26674.63953488372
TIGUANSPORT,26673.341463414636
DURANGOLIMITED,26654.118852459018
TUCSONNIGHT,26651.7
RAV4SE,26629.5859375
GLK-CLASSGLK350,26591.127534685165
NV,26533.483333333334
RDXFWD,26513.8013136289
"1500**7""",26495.0
WRANGLERALTITUDE,26473.5
ARMADASL,26464.06779661017
"1500SSV,",26458.5
OUTBACK3.6R,26434.964467005077
WRXLIMITED,26404.44776119403
V60T5,26404.270833333332
"SIENNAXLE,",26388.095909732016
SRXSTANDARD,26349.720930232557
5,26278.222794959907
OPTIMASXL,26259.491803278688
MURANOFWD,26250.85401459854
86SE,26237.0
IMPREZALIMITED,26101.640625
EDGESPORT,26081.239700374532
IMPALAPREMIER,26059.994263862332
QX564WD,26058.681159420288
RAV4,26015.79894179894
HARDTOP,26012.27397260274
QX30BASE,25999.846153846152
9-4XAWD,25999.0
TTSROADSTER,25999.0
CHARGERPURSUIT,25995.0
WRXCVT,25992.05309734513
TUCSONVALUE,25987.0
X535I,25985.0
CAMAROCONVERTIBLE,25972.050068587105
ZDXBASE,25895.0
COMPASS2017.5,25894.219512195123
124,25887.535714285714
Q50AWD,25869.391774891774
SUBURBANLS,25869.260869565216
PILOTSE,25859.28896103896
MUSTANGGT,25842.41279855791
SORENTOLIMITED,25826.785326086956
MKZBLACK,25818.25
TITANSINGLE,25800.916666666668
MKCFWD,25798.111545988257
TLXFWD,25784.743730407525
"1500EXPRESS,",25765.424784217015
ACADIAAWD,25669.23203285421
MKT3.7L,25665.32608695652
PACIFICATOURING,25604.5829846583
WRXMANUAL,25595.198230088496
X1XDRIVE35I,25582.385714285716
XK,25582.14285714286
370ZCOUPE,25501.427518427517
MKX2WD,25459.392592592594
"1500R/T,",25422.375
SEDONASX,25383.409638554218
SIENNAXLE,25380.696870925683
MKXAWD,25364.562002275314
FORESTER2.0XT,25332.05187319885
AVALANCHELS,25318.068965517243
SUBURBANLT,25296.097222222223
F-350HARLEY-DAVIDSON,25255.045454545456
QUATTROPORTESPORT,25219.0
EOSFINAL,25208.428571428572
F-150FX2,25199.35
300SRT8,25179.36842105263
V602015.5,25176.39393939394
MALIBUPREMIER,25164.55769230769
Q50HYBRID,25142.136094674555
NIROEX,25125.3
FLEXLIMITED,25104.25644504749
WRANGLERMOAB,25079.666666666668
PILOTEX-L,25066.6358974359
XTSPREMIUM,25032.936893203885
VOLTLT,24999.973684210527
CAMARO2SS,24999.0
Q60,24996.608169440242
4RUNNER,24994.0
E-CLASS2011,24975.0
MKT,24952.678571428572
XTS,24950.0
CHEROKEETRAILHAWK,24931.78602243313
ESCALADE2WD,24929.673684210527
Q50RWD,24878.84850590688
F-250FX5,24871.533333333333
FUSIONPLATINUM,24857.236363636363
RLXBASE,24854.947368421053
F-350CABELA'S,24813.666666666668
IONIQ,24802.08
1500,24800.0
XTSLUXURY,24792.854838709678
MAXIMASV,24744.725158562367
EOSEXECUTIVE,24706.0
SIENNA5328,24685.0
MUSTANGFASTBACK,24639.61589663273
XK2DR,24636.36567164179
FX37FX37,24620.185185185186
PATHFINDERSL,24618.894659839065
ILXPREMIUM,24611.380952380954
MKTALL,24595.0
CHARGERROAD/TRACK,24579.76
ISIS,24565.208676551345
CORVETTE2DR,24563.270109235353
ENCLAVECONVENIENCE,24542.27927927928
NV2500,24533.06349206349
FJ,24528.10769230769
TAURUSSHO,24526.75505050505
X6AWD,24521.714285714286
XC703.2L,24512.809523809523
CX-52016.5,24482.996825396825
EXPLORERXLT,24474.620979532163
CLA-CLASSCLA250,24462.713824289407
RIDGELINESPORT,24459.758620689656
MDXWITH,24451.117647058825
TIGUANWOLFSBURG,24409.76
DURANGOSPECIAL,24391.75
"1500TRADESMAN,",24389.559973045823
JOURNEYGT,24360.608695652172
CAMRYHYBRID,24320.338983050846
BRZSERIES.HYPERBLUE,24320.333333333332
X1SDRIVE28I,24307.390086206895
CX-9GRAND,24297.58038147139
TUCSONSPORT,24283.132075471698
TUNDRABASE,24270.79576399395
SSRREGULAR,24218.305555555555
RENEGADEDESERTHAWK,24205.75
CTS,24186.152466367712
TTS2DR,24184.30769230769
WRXPREMIUM,24180.9776119403
XC903.2,24163.0
MKS3.5L,24132.78787878788
XC70FWD,24125.0625
TERRAINSLE-2,24117.5
TAHOECOMMERCIAL,24115.285714285714
ACADIAFWD,24106.521169354837
86AUTOMATIC,24098.11111111111
WRANGLERSPORT,24095.30648769575
86BASE,24078.541666666668
CHARGERRT,24077.820431472082
XFI4,24063.375
F-150HARLEY-DAVIDSON,24062.053571428572
ACCORDTOURING,24060.575471698114
CANYONEXTENDED,24016.04958677686
PILOT4WD,24011.102256699578
BEETLESEL,24000.0
XC70PLATINUM,23998.0
S-CLASSS65,23996.0
F-1502010,23995.0
IMPREZA5,23991.0
F-150AWD,23987.637931034482
FRONTIERSV,23986.0
IS,23950.427207637233
DURANGO2WD,23936.25346112886
WRANGLER70TH,23928.666666666668
PASSAT3.6L,23927.06818181818
LACROSSEAWD,23922.534090909092
M56BASE,23914.666666666668
ARMADASV,23902.483146067414
M37M37X,23891.4125
F-150STX,23875.586387434556
ESCALADEAWD,23869.86322580645
CHEROKEE75TH,23852.157894736843
MKTLIVERY,23838.60655737705
TACOMA2WD,23823.249607535323
WRANGLERCALL,23813.5
CROSSTREK2.0I,23805.02029520295
NIROLX,23804.133333333335
ODYSSEYEX-L,23797.165190839696
FRONTIERCREW,23785.89677419355
S52DR,23783.45882352941
IMPALA3LT,23747.5
EXPEDITION2WD,23745.24281984334
F-1502WD,23725.30777491409
MURANO,23708.20895522388
SPYDER2DR,23698.444444444445
TITANKING,23656.67
M37M37,23653.562913907284
86MANUAL,23634.35714285714
HIGHLANDER4X4,23620.647260273974
Q53.2L,23611.0
SLK-CLASSSLK350,23578.176923076924
PACIFICALX,23569.984848484848
Q5QUATTRO,23559.309623430963
XC60AWD,23546.503184713376
MUSTANGECOBOOST,23483.324324324323
NVP3500,23413.076923076922
CROSSTREKLIMITED,23410.27819548872
SORENTOSX,23379.111271676302
C-MAXTITANIUM,23376.222222222223
B-CLASSELECTRIC,23366.833333333332
TACOMABASE,23331.592988710636
XFXF,23301.17127071823
PATHFINDERHYBRID,23257.527777777777
RIDGELINERTL,23224.2350877193
FX35LIMITED,23215.166666666668
SIENNAL,23196.752631578947
300ANNIVERSARY,23196.5
TRAVERSE2LT,23180.02687411598
C-CLASSC350,23154.940217391304
S-CLASS4DR,23150.28998849252
MALIBUHYBRID,23142.6875
HR-VEX-L,23120.48780487805
CCDSG,23117.878787878788
GRANSPORT2DR,23107.222222222223
AVALON,23098.633204633206
C70T5,23090.352941176472
ROGUE2017.5,23074.048780487807
S602015.5,23064.220532319392
Z4Z4,23044.30769230769
JX35JX35,23043.302325581397
CIVICSPORT,23042.290322580644
HIGHLANDER,23028.467391304348
S80T6,23004.394736842107
1500ST,22995.0
XC603.0L,22991.5
1500RAM,22991.0
WRXXM/,22990.0
C70INSCRIPTION,22978.4
CROSSTREK,22963.266666666666
JETTAGLI,22958.439024390245
COLORADOEXTENDED,22957.742290748898
CC2.0T,22907.185185185186
FORESTERPREMIUM,22888.0
HIGHLANDERSE,22881.539130434783
300300S,22862.67535971223
CAMAROCOUPE,22856.56246723746
ESES,22847.63631913852
S-CLASSS350,22828.722222222223
C-HRXLE,22824.8125
VENZALIMITED,22808.50704225352
3,22773.39092240117
15004WD,22763.801044386422
XC90PREMIER,22741.0
TACOMAPRERUNNER,22736.582564102566
GENESIS5.0,22728.722222222223
TRAVERSEAWD,22722.58582408198
SEQUOIARWD,22697.053333333333
CADENZASEDAN,22686.0
XLR2DR,22669.358208955226
XC703.2,22659.0
SL-CLASSSL55,22652.69230769231
300JOHN,22645.985074626864
A42.0T,22644.5869205298
PATHFINDERSV,22641.716149068325
BRZSERIES.BLUE,22617.666666666668
MAZDA62017.5,22615.0
SIENNASIENNA,22604.0
CIVICTOURING,22601.169491525423
S60T5,22592.842696629214
A3SEDAN,22584.319284802044
AVALONLIMITED,22574.195979899498
IMPREZASPORT,22568.977777777778
MKZAWD,22558.522222222222
MAXIMAS,22539.410646387834
TUCSONECO,22537.82608695652
ES,22530.029587270015
SRXBASE,22516.524926686216
NIROFE,22496.666666666668
OPTIMAS,22493.0
ILXAUTOMATIC,22464.747311827956
EOSKOMFORT,22446.951923076922
FX50AWD,22432.695652173912
OUTBACK2.5I,22375.85272391505
CHALLENGER,22338.0
AZERALIMITED,22331.474074074074
LEGACY3.6R,22301.52380952381
CHEROKEE4WD,22300.032214765102
CHEROKEEHIGH,22295.727272727272
MDXBASE,22256.70588235294
FLEXSEL,22247.866321243524
CX-5GRAND,22214.8453445555
PILOT2WD,22200.623595505618
SAVANA,22191.24546952224
WRXWRX,22186.2
500XLOUNGE,22185.333333333332
F-150SUPERCAB,22183.24564796905
PROMASTER,22167.525517241378
ENCORESPORT,22137.640625
CADENZABASE,22134.0
WRXBASE,22132.455399061033
RAV4AWD,22120.824884792626
MKS3.7L,22081.149220489977
IMPALA2LTZ,22074.117753623188
"VENZALIMITED,",22059.76712328767
MALIBU1LS,22056.0
GRAND,22033.81167315175
F-450CREW,21999.0
SRX3.6,21999.0
XC70PREMIER,21995.0
SIENNALE/DVD,21987.0
"SIENNALE,",21984.970358814353
ATS3.6L,21973.441988950275
MKZHYBRID,21958.490364025696
M56X,21924.166666666668
CROSSTREKPREMIUM,21918.409722222223
ILXACURAWATCH,21908.14285714286
VENZAXLE,21904.20735785953
S803.2,21900.0
MKS,21900.0
H24DR,21894.034300791558
TRAVERSE1LT,21881.72662798195
CAMRY4D,21874.0
DURANGOSXT,21819.55504587156
S84DR,21784.6875
RENEGADETRAILHAWK,21779.197904540164
MKXFWD,21766.053140096617
PATHFINDER4WD,21715.489288774635
TRANSIT,21682.747583243825
CX-3AWD,21608.053731343283
SPRINTER2500,21606.5
EOSLUX,21591.416666666668
HIGHLANDER4X2,21565.612440191388
PILOTLX,21554.71206225681
GOLF,21516.53006012024
RENEGADEALTITUDE,21514.75
FORESTER2.5I,21505.09172763084
ROGUESL,21482.958403220397
QUATTROPORTE,21475.0
QUESTSL,21460.30701754386
BEETLE#PINKBEETLE,21450.0
MKTECOBOOST,21447.5
RAV4LIMITED,21443.629268292683
AVALONPREMIUM,21439.844155844155
IMPREZAPREMIUM,21433.956834532375
QUESTPLATINUM,21407.56989247312
XC60FWD,21341.92391304348
RAV4XLE,21337.196108550947
CHEROKEELIMITED,21336.266216216216
HR-VAWD,21334.236842105263
SL-CLASSSL600,21323.153846153848
GL-CLASS4MATIC,21321.31204379562
CROSSTREKMANUAL,21319.172413793105
REGALGS,21304.547826086957
PILOTEX,21304.018018018018
XC603.2L,21250.285714285714
MKTAWD,21246.88888888889
AVALONXLE,21246.458968772695
TIGUAN4MOTION,21240.681481481482
JOURNEYCROSSROAD,21226.98973481608
TRAVERSEFWD,21212.831181102363
CHEROKEEALTITUDE,21206.696969696968
DURANGOCREW,21104.251028806586
QUATTROPORTEEXECUTIVE,21097.0
SENTRANISMO,21074.125
OUTLANDERGT,21072.645669291338
MUSTANGV6,21064.021276595744
EXCURSIONLIMITED,21044.6875
EOSSPORT,21014.60975609756
S2000CR,21000.0
TRAX1LT,20995.0
FORTE5SX,20995.0
BEETLEDUNE,20991.0
CAMAROSS,20985.0
S20002DR,20977.964285714286
OPTIMAPREMIUM,20975.0
XC903.2L,20975.0
CR-ZEX-L,20974.5
300MOPAR,20950.0
"VENZAXLE,",20947.03125
REGALFWD,20945.0
300300C,20895.24455899198
HR-VEX,20873.654929577464
TACOMAACCESS,20872.407960199005
MURANOAWD,20863.605026372945
MKX,20856.0
EX37JOURNEY,20795.0
CR-VSE,20789.583333333332
EX37EX37,20787.48717948718
MKXMKX,20746.394029850748
RS64DR,20738.6
COLORADOLT,20727.0
AVALONTOURING,20714.42142857143
SIENNALE,20687.44260700389
500XPOP,20681.75
OUTLANDERSEL,20662.287234042553
EDGESEL,20661.043352601155
XTERRAX,20646.245454545453
EXPRESS,20638.551795939617
LACROSSEFWD,20580.516213847503
E-CLASS2DR,20572.294701986753
I3HATCHBACK,20562.598484848484
MKZFWD,20557.110851808633
SONATASEL,20529.5
Q40AWD,20521.69421487603
NV1500,20514.603174603173
CADENZALIMITED,20507.07222222222
CL-CLASSCL65,20494.0
SRXLEATHER,20475.0
ATS2.0L,20469.716274089937
TERRAINAWD,20469.319506726457
CX-3FWD,20421.460431654676
MUSTANGCOUPE,20414.000782472613
CTCT,20384.0
HIGHLANDERPLUS,20383.54716981132
CHALLENGER2DR,20366.845986984816
PATHFINDERS,20357.918085106383
SEDONALX,20344.354702657107
MUSTANG,20327.5
CHARGERSXT,20320.19775596073
CX-9TOURING,20294.696470588235
CIVICEX-T,20291.94262295082
ZDXAWD,20291.133333333335
COROLLAXSE,20290.0
BRZLIMITED,20286.46907216495
TIGUANR-LINE,20258.65765765766
S44DR,20231.403100775195
QUESTLE,20212.48
CHALLENGERSXT,20201.441299790356
A84DR,20196.431034482757
RIDGELINERTS,20186.653333333332
MUSTANGCONVERTIBLE,20154.364853556486
RDXWITH,20128.30769230769
CADENZAPREMIUM,20098.018761726078
BRZPREMIUM,20077.01282051282
AVALANCHE4WD,20075.210134128167
SORENTOEX,20048.124362895003
OPTIMALIMITED,20046.187214611873
XTERRAS,20015.261904761905
Q40RWD,20005.706896551725
RAV44X4,19994.69050376375
CX-3TOURING,19990.0
PROMASTER2500,19984.0
MAZDA6GRAND,19968.431011826546
ENCOREPREMIUM,19962.45213849287
RENEGADELIMITED,19954.231354642314
RENEGADEJUSTICE,19943.371428571427
PATHFINDER2WD,19925.581504702193
EDGELTD,19917.0
CCVR6,19888.06779661017
XTSBASE,19885.630434782608
TT3.2L,19881.0
CAMAROLT,19875.0
JUKEAWD,19868.962264150945
WRANGLER4WD,19866.414660246122
XC703.0T,19863.0
SONATASPORT,19852.85401459854
TIGUAN,19842.25
F-350AMARILLO,19819.6
CT,19782.928571428572
ALTIMA2017.5,19778.650793650795
REGALSPORT,19751.485530546623
RAV4LE,19732.92544146501
"SIENNAL,",19686.7
500XTREKKING,19676.3125
WRANGLERMOJAVE,19650.0
CR-VEX-L,19647.12164163317
ESCAPETITANIUM,19632.569241475296
EXPLORERBASE,19628.46118192352
PASSATTDI,19613.178714859438
RDXBASE,19600.875
300LIMITED,19536.28083491461
300LUXURY,19526.333333333332
EQUINOXLTZ,19495.0
WRANGLERUNLIMITED,19475.0
IMPREZA5-DOOR,19471.03846153846
SEDONAL,19451.06349206349
HR-V2WD,19434.214285714286
TLSPECIAL,19391.35714285714
HR-VLX,19384.347107438018
JETTA1.8T,19383.95945945946
NV200,19379.8
TLSH-AWD,19360.90243902439
CLS-CLASSCLS55,19326.346153846152
GOLFWOLFSBURG,19325.757575757576
CX-9AWD,19316.567164179105
GOLFSE,19308.555555555555
SONATA2.0T,19276.368674698795
MKTTOWN,19253.666666666668
MUSTANGSVT,19247.08108108108
TITAN4WD,19239.55108359133
TIGUANSEL,19191.480916030534
RENEGADE75TH,19186.5
SPORTAGESX,19176.91121495327
XC60,19171.25
IMPREZABASE,19157.11111111111
M35HH,19138.5
ROGUESV,19070.692539109506
BEETLESE,19059.11111111111
XTS3.6L,19056.809523809523
RAV44X2,19037.003933136675
QUESTSV,19015.20722135008
SUBURBAN,19000.0
CAMRYXSE,18993.308675799086
300C,18990.0
ENCORE,18990.0
CX-5,18972.0
C-CLASSC250,18968.24916013438
CCR-LINE,18963.625
XV,18952.311574328032
CHEROKEELATITUDE,18938.81010390541
SORENTOL,18937.90707964602
TUNDRAGRADE,18935.4
IMPREZA4-DOOR,18920.333333333332
SOULEV+,18901.75
Q504DR,18900.0
CRUZEHATCHBACK,18878.896551724138
TRAVERSELS,18843.787794729542
MURANO2WD,18830.652758132957
LANCERRALLIART,18808.055555555555
BEETLECLASSIC,18803.5
C30R-DESIGN,18793.4
CHEROKEEFWD,18793.31375838926
XJ4DR,18769.54411764706
WRANGLERISLANDER,18747.5
BEETLE1.8T,18740.5
370Z2DR,18738.92774566474
MURANOLE,18726.125
ALTIMA3.5,18724.442386831277
SOULEXCLAIM,18719.0
PILOT,18700.0
"1500HFE,",18693.875
CROSSTOUREX-L,18674.043624161073
JUKEFWD,18673.28888888889
CX-5TOURING,18668.62044653349
ENCOREAWD,18668.25726141079
Z42DR,18653.050420168067
MURANOSL,18621.882352941175
TUNDRASR6,18616.5
MAZDA3,18616.26976744186
15002WD,18615.28947368421
CCEXECUTIVE,18592.85714285714
S64DR,18590.3125
ODYSSEYEX,18586.954088952654
EQUUS4DR,18583.382978723403
JOURNEYR/T,18578.548209366392
CIVICLX-P,18573.04651162791
JOURNEYLIMITED,18550.5
SEDONAEX,18534.875
EDGELIMITED,18534.636655948554
TUCSONWALKING,18507.083333333332
TSXSPECIAL,18506.054545454546
ROGUE4DR,18500.0
VELOSTER1.6L,18495.0
RENEGADELATITUDE,18492.099352051835
TSXPREMIUM,18488.0
TERRAINFWD,18484.74056003394
ACCORDSPORT,18465.604825291182
OUTBACK2014,18450.0
ENCORELEATHER,18440.712041884817
S-CLASSS600,18437.533333333333
AVALANCHE2WD,18424.498039215687
ACCORDBASE,18416.977272727272
SOUL!,18391.88888888889
A32.0T,18383.954545454544
SPORTAGEEX,18364.192846034213
"EXCURSION137""",18354.54761904762
IMPALA2LT,18347.351966873706
FUSION,18341.484251968504
FOCUSST,18319.980237154152
SORENTOLX,18310.13896008788
RAM,18293.043291078688
FORTWOPROXY,18284.0
RIDGELINERT,18272.39024390244
M564DR,18265.5
M37BASE,18262.783333333333
SOUL,18257.42105263158
COUPE2DR,18224.8
F-150LIGHTNING,18203.055555555555
Z3Z3,18192.882352941175
MKX4DR,18187.68181818182
M37X,18185.257575757576
SANTA,18107.95833756732
MALIBUL,18105.58823529412
REGALPREMIUM,18094.634888438133
ATS2.5L,18083.282511210764
CR-VEX,18080.967064901517
TRAXAWD,18076.22023047375
500,18050.666666666668
CHALLENGERRALLYE,18040.322580645163
S2000BASE,18020.55172413793
300UPTOWN,18018.0
ESCAPE4WD,18004.05708661417
F-15060TH,17999.0
TERRAINSLT,17999.0
TUNDRAREGULAR,17995.0
CHARGERAWD,17995.0
F-250OUTLAW,17993.666666666668
LACROSSELEATHER,17992.5
YUKONSLT1,17987.0
PASSATR-LINE,17977.0
370ZHEATED/COOLED,17970.0
PRIUSHATCACK,17966.0
Z3COUPE,17962.333333333332
VERANOSPORT,17960.051075268817
M35HM35H,17955.0
A4AWD,17939.0
MAZDA3S,17937.68551236749
OUTLANDERES,17937.65182186235
XC603.2,17930.85714285714
TUCSONLIMITED,17911.748995983937
TSX5-SPEED,17910.729559748426
TLWITH,17909.358974358973
CLS-CLASS4DR,17906.695187165777
EQUINOXAWD,17891.16554946171
QUESTS,17864.533980582524
FRONTIERKING,17862.454274353877
TUCSONSE,17849.666666666668
XF4DR,17849.212624584718
GOLF4-DOOR,17828.444782168186
FUSIONTITANIUM,17821.35236472092
F-250AMARILLO,17821.333333333332
VENZALE,17818.927272727273
MALIBU2LTZ,17817.954314720813
SPORTAGEAWD,17817.866323907456
MUSTANGPREMIUM,17811.158866995072
TLBASE,17796.57627118644
FR-SAUTOMATIC,17794.214092140923
GOLFSEL,17782.0
IMPREZA2.0,17779.777777777777
ENCOREFWD,17754.533609100312
FOCUSELECTRIC,17738.2
TRIBECA3.6R,17730.365384615383
"VENZALE,",17727.6038647343
LEGACY2.5I,17724.01896333755
TL2WD,17712.00699300699
OPTIMASX,17683.02564102564
IMPREZA5DR,17670.944444444445
RAV4FWD,17651.754155730534
PRIUSFOUR,17626.24905183312
CRUZEPREMIER,17608.65359477124
SCSC,17600.40506329114
CAMARO2LS,17599.5
ROGUES,17567.384634387352
EXPEDITIONXL,17552.666666666668
Q7QUATTRO,17536.98734177215
MAXIMA3.5,17534.59946115851
MALIBULT,17514.85337406276
BEETLES,17504.409090909092
TUNDRA4WD,17477.94680851064
RENEGADESPORT,17471.069400630913
E-GOLFSEL,17458.51724137931
ODYSSEYLX,17450.220125786163
SOULEV,17445.88888888889
SOUL#NAME?,17445.416666666668
FUSIONFUSION,17429.333333333332
CHARGERV6,17426.0
CX-9FWD,17421.58359621451
TSX,17391.88679245283
CX-9SPORT,17374.45
TAURUSLIMITED,17370.466970387242
FRONTIER4WD,17357.620078740158
GTIDRIVER'S,17356.0
COMPASSHIGH,17352.38532110092
IMPALALTZ,17326.262686567163
MAZDA6TOURING,17322.377435064936
CIVICSI,17320.997542997542
GOLFS,17314.703703703704
FUSIONSPORT,17309.18604651163
H3,17284.333333333332
ENCORECONVENIENCE,17272.17122473246
COROLLASE,17268.128881987577
IMPALAIMPALA,17250.0
ILX5-SPEED,17226.99393019727
C30T5,17220.75
QX56RWD,17191.67924528302
GTI4-DOOR,17182.03448275862
FUSIONHYBRID,17176.594594594593
FR-SMANUAL,17167.165605095543
TAHOE,17139.71052631579
CHARGERSE,17121.041850220263
CHEROKEESPORT,17119.195355191256
CAMRYXLE,17102.379325074755
WRANGLERRWD,17075.468085106382
CR-VLX,17071.94309181578
FR-S2DR,17054.247311827956
GENESIS,17038.610722610723
TUCSONAWD,17027.309050772627
500XAWD,17024.36923076923
G37,17021.609878310664
GENESIS3.8,17017.08275862069
TRAX,17000.0
H3ALPHA,16995.0
RAV4XLE/4WD/W/NAV/REAR,16995.0
M-CLASS4MATIC,16990.131474103586
